library,Keyword,ML_Category,Link
accelerate,.get_rank(,Consumer,https://huggingface.co/docs/accelerate/usage_guides/distributed_inference
accelerate,.eval(,Consumer,https://huggingface.co/docs/accelerate/usage_guides/distributed_inference
accelerate,.prepare_pippy,Consumer,https://huggingface.co/docs/accelerate/package_reference/inference
caffe,.forward(,Consumer,"https://caffe.berkeleyvision.org/tutorial/forward_backward.html, https://github.com/BVLC/caffe/blob/master/examples/01-learning-lenet.ipynb"
caffe,.test_nets(,Consumer,https://github.com/BVLC/caffe/blob/master/docs/tutorial/interfaces.md
caffe,.predict(,Consumer,https://github.com/BVLC/caffe/blob/master/python/caffe/classifier.py
crypten,.eval(,Consumer,https://github.com/facebookresearch/CrypTen/blob/main/tutorials/Tutorial_4_Classification_with_Encrypted_Neural_Networks.ipynb
deepchem,.predict_on_batch(,Consumer,https://deepchem.readthedocs.io/en/latest/api_reference/models.html#trainer
deepchem,.predict(,Consumer,https://deepchem.readthedocs.io/en/latest/api_reference/models.html#trainer
deepchem,.predict_on_generator(,Consumer,https://deepchem.readthedocs.io/en/latest/api_reference/models.html#trainer
deepchem,.predict_uncertainty_on_batch(,Consumer,https://deepchem.readthedocs.io/en/latest/api_reference/models.html#trainer
deepchem,.predict_embedding(,Consumer,https://deepchem.readthedocs.io/en/latest/api_reference/models.html#trainer
deepchem,.predict_uncertainty(,Consumer,https://deepchem.readthedocs.io/en/latest/api_reference/models.html#trainer
deepchem,.predict_from_sequences(,Consumer,https://deepchem.readthedocs.io/en/latest/api_reference/models.html#model-cheatsheet
deepchem,.predict_from_embeddings(,Consumer,https://deepchem.readthedocs.io/en/latest/api_reference/models.html#model-cheatsheet
deepchem,.predict_gan_generator(,Consumer,https://deepchem.readthedocs.io/en/latest/api_reference/models.html#model-cheatsheet
gluon,.forward(,Consumer,https://cv.gluon.ai/api/loss.html
habitat_baselines,.eval(,Consumer,https://github.com/facebookresearch/habitat-lab/blob/main/habitat-baselines/habitat_baselines/il/trainers/pacman_trainer.py
imageai,.classifyImage(,Consumer,https://imageai.readthedocs.io/en/latest/custom/index.html
imageai,.detectObjectsFromImage(,Consumer,https://imageai.readthedocs.io/en/latest/customdetection/index.html
mmengine,forward(,Consumer,https://mmengine.readthedocs.io/en/latest/design/infer.html
monai,.predict(,Consumer,https://docs.monai.io/en/stable/auto3dseg.html
mt_dnn,.predict(,Consumer,https://github.com/microsoft/MT-DNN?tab=readme-ov-file
sparknlp,.transform(,Consumer,"https://sparknlp.org/api/python/user_guide/annotators.html#annotator-approaches, https://sparknlp.org/api/python/user_guide/custom_pipelines.html"
anago,.predict(,Consumer,https://github.com/Hironsan/anago/blob/master/anago/tagger.py
anago,.analyze(,Consumer,https://github.com/Hironsan/anago/blob/master/anago/tagger.py
anago,.predict_proba(,Consumer,https://github.com/Hironsan/anago/blob/master/anago/tagger.py
ampligraph,.predict(,Consumer,https://docs.ampligraph.org/en/latest/generated/ampligraph.latent_features.ScoringBasedEmbeddingModel.html#ampligraph.latent_features.ScoringBasedEmbeddingModel.fit
ampligraph,.predict_proba(,Consumer,https://docs.ampligraph.org/en/latest/generated/ampligraph.latent_features.ScoringBasedEmbeddingModel.html#ampligraph.latent_features.ScoringBasedEmbeddingModel.predict_proba
